step,price,balance,shares_held,portfolio,action,reward
135,149.1233367919922,19760.0,1411.5565823467455,230256.02763024718,0,-0.05353488224078538
136,135.6666717529297,19760.0,1411.5565823467455,211261.18351792317,0,-0.08249444893067676
137,139.44000244140625,19760.0,1411.5565823467455,216587.45328861324,0,0.02521177663590134
138,110.06999969482422,19760.0,1411.5565823467455,175130.03258813338,0,-0.1914119219326876
139,122.09333038330078,19760.0,1411.5565823467455,192101.6441631841,1,0.0919086302574045
140,123.77999877929688,19760.0,1411.5565823467455,194482.4720397886,1,0.007393584068349062
141,124.23999786376952,19760.0,1411.5565823467455,195131.78677534946,0,0.00333867997846103
142,139.8733367919922,19760.0,1411.5565823467455,217199.1292435398,0,0.11308942962530147
143,149.9199981689453,19760.0,1411.5565823467455,231380.56024078678,0,0.06529230133950333
144,147.25332641601562,19760.0,1411.5565823467455,227616.40217498076,0,-0.016268255474396077
145,141.14332580566406,19760.0,1411.5565823467455,218991.79059529636,0,-0.037890993343503265
146,147.38333129882812,19760.0,1411.5565823467455,227799.91142305196,0,0.04022123753503272
147,149.79666137695312,19760.0,1411.5565823467455,231206.4633802047,0,0.01495414083294498
148,141.41000366210938,19760.0,1411.5565823467455,219368.22147892788,0,-0.051202037037388105
149,126.7866668701172,19760.0,1411.5565823467455,198726.55417431798,0,-0.0940959778287331
150,129.26333618164062,19760.0,1411.5565823467455,202222.51304329504,0,0.017591805400653582
151,135.77999877929688,19760.0,1411.5565823467455,211421.15102794956,0,0.04548770483672646
152,140.39999389648438,19760.0,1411.5565823467455,217942.5355460254,0,0.03084546880181209
153,139.69000244140625,19760.0,1411.5565823467455,216940.34243419993,0,-0.004598428247678267
154,143.00332641601562,19760.0,1411.5565823467455,221617.28670000707,0,0.021558665453041196
155,149.3866729736328,19760.0,1411.5565823467455,230627.74155081206,0,0.040657725689972835
156,138.3633270263672,19760.0,1411.5565823467455,215067.66501946395,0,-0.06746836450254115
157,141.89332580566406,19760.0,1411.5565823467455,220050.45803205643,0,0.023168489843145425
158,137.9933319091797,19760.0,1411.5565823467455,214545.3959763618,0,-0.025017271515484184
159,141.76666259765625,19760.0,1411.5565823467455,219871.66574705185,0,0.024825840454189375
160,141.97332763671875,19760.0,1411.5565823467455,220163.38514328146,0,0.0013267712110081684
161,144.6666717529297,19760.0,1411.5565823467455,223965.1927590439,0,0.017268119370930878
162,147.43333435058594,19760.0,1411.5565823467455,227870.4935598981,0,0.017437088115097327
163,148.88333129882812,19760.0,1411.5565823467455,229917.24629657206,0,0.008982087609056472
164,153.76666259765625,19760.0,1411.5565823467455,236810.3447352128,0,0.029980780257559472
165,149.6266632080078,19760.0,1411.5565823467455,230966.50134584302,0,-0.02467731464984772
166,146.55667114257812,19760.0,1411.5565823467455,226633.03383813347,0,-0.01876232043373558
167,143.61000061035156,19760.0,1411.5565823467455,222473.6416523619,0,-0.018352982861017036
168,140.64666748046875,19760.0,1411.5565823467455,218290.72926718963,0,-0.018801833575001592
169,140.8800048828125,19760.0,1411.5565823467455,218620.09821337563,0,0.0015088544863618698
170,141.92999267578125,19760.0,1411.5565823467455,220102.2153939244,0,0.006779418693253831
171,140.2100067138672,19760.0,1411.5565823467455,217674.3578878406,0,-0.01103059095401907
172,140.0933380126953,19760.0,1411.5565823467455,217509.6734147476,0,-0.0007565634955397129
173,141.55999755859375,19760.0,1411.5565823467455,219579.94635082223,0,0.009518072937045926
174,135.33999633789062,19760.0,1411.5565823467455,210800.06268553395,0,-0.03998490668751982
175,136.94332885742188,19760.0,1411.5565823467455,213063.25725716888,0,0.010736213940368193
176,129.34666442871094,19760.0,1411.5565823467455,202340.13557894257,0,-0.05032834762909577
177,133.50332641601562,19760.0,1411.5565823467455,208207.499167713,0,0.02899752721812943
178,141.3000030517578,19760.0,1411.5565823467455,219212.94939332397,1,0.04785808757899707
179,140.32666015625,19760.0,1411.5565823467455,217839.02082228946,0,-0.0062675520530921245
180,146.02999877929688,19760.0,1411.5565823467455,225889.6059970037,0,0.03695657988327895
181,143.31666564941406,19760.0,1411.5565823467455,222059.58275741813,0,-0.01695528761795422
182,140.4199981689453,19760.0,1411.5565823467455,217970.7727084927,0,-0.018413121371087596
183,136.7866668701172,19760.0,1411.5565823467455,212842.11999778543,0,-0.023529084413377536
184,139.0433349609375,19760.0,1411.5565823467455,216027.5346955547,1,0.009966091757601367
185,137.25332641601562,19760.0,1411.5565823467455,213500.8363515133,0,-0.01169618654215643
186,136.1666717529297,19760.0,1411.5565823467455,211966.96180909657,0,-0.007184395942558861
187,136.02999877929688,19760.0,1411.5565823467455,211774.04017353625,0,-0.000910149553089612
188,147.20333862304688,19760.0,1411.5565823467455,227545.84157677874,0,0.07447466833195586
189,162.2133331298828,19760.0,1411.5565823467455,248733.2981238915,0,0.09311291474409816
190,166.42333984375,19760.0,1411.5565823467455,254675.9608125747,0,0.02389170542708436
191,163.20333862304688,19760.0,1411.5565823467455,250130.74689432664,0,-0.017847047297852414
192,173.9499969482422,19760.0,1411.5565823467455,265300.2631914875,0,0.06064634790208148
